age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
73,90555.78,562,84466.76,32.28,1.0,5.9,2252.9,6,24468.78,Male,Full-Time,Master,Personal,South,Single,2019,36,2019-03-12,1
61,43693.06,619,2951.11,30.06,0.0,5.2,47255.55,3,12392.02,Male,Full-Time,Bachelor,Medical,South,Divorced,2019,48,2019-02-25,0
66,36760.04,621,50565.64,21.0,2.0,4.4,8340.34,5,7268.0,Female,Unemployed,Master,Business,North,Divorced,2019,60,2019-07-27,0
56,,634,10752.99,25.95,4.0,,5991.2,1,21581.83,Male,Full-Time,Master,Car,East,Divorced,2014,36,2014-06-11,0
51,98352.31,674,10515.86,9.71,6.0,1.3,9958.05,3,16677.44,Male,Retired,High School,Business,Central,,2022,60,2022-06-28,0
56,42798.96,666,5815.82,14.76,2.0,6.3,5465.34,8,8132.39,Female,Self-Employed,,Education,North,Married,2021,48,2021-06-14,0
74,71447.99,689,16813.48,21.68,2.0,10.9,4327.49,3,25929.77,Female,Full-Time,Master,Car,South,Divorced,2017,36,2017-05-22,0
65,9299.25,633,12364.98,20.39,6.0,5.5,2754.64,6,1789.26,Female,Full-Time,Master,Education,North,Single,2014,48,2014-05-25,1
35,48134.61,666,18565.68,14.73,,8.1,3352.22,2,10132.64,Male,Full-Time,,Medical,Central,Single,2016,36,2016-12-22,0
52,11998.14,525,16342.25,13.65,2.0,0.4,9012.04,8,4435.69,Female,Part-Time,,Car,North,Married,2023,36,2023-05-02,1
57,88387.12,609,77009.39,51.78,1.0,6.9,9213.57,6,19783.7,Male,Self-Employed,PhD,Car,West,Married,2017,60,2017-10-16,1
64,95710.38,631,8096.82,37.01,3.0,5.1,18564.75,3,25464.34,Male,Self-Employed,High School,Home,Central,Divorced,2021,84,2021-05-13,0
53,41335.21,676,50944.8,19.87,1.0,8.1,3635.31,7,10469.69,Female,Part-Time,Bachelor,Home,North,,2018,48,2018-01-21,1
22,61900.06,684,4116.51,14.39,2.0,12.0,,0,13333.98,Male,Part-Time,Master,Personal,Central,Single,2021,48,2021-12-19,0
52,42974.31,702,8631.14,61.82,6.0,5.5,4238.81,0,7246.26,Male,Full-Time,,Education,Central,Married,2015,36,2015-10-07,0
55,56734.6,565,5710.13,20.27,6.0,5.5,1404.49,0,10519.51,Male,Self-Employed,,Business,Central,Single,2010,48,2010-07-17,0
19,45542.62,637,4763.21,14.02,,5.7,12044.13,7,8146.92,Female,Part-Time,High School,Home,South,Single,2014,12,2014-03-13,0
54,63106.36,528,4261.79,14.7,3.0,1.3,27834.65,6,19156.73,Male,Self-Employed,Bachelor,Home,Central,Divorced,2023,36,2023-12-20,1
24,167494.41,566,22444.29,4.31,1.0,5.5,,9,32738.15,Female,Full-Time,Master,Car,South,Divorced,2021,48,2021-09-27,1
50,31926.23,546,5066.14,35.57,2.0,3.1,11827.23,0,8740.2,Female,Self-Employed,Bachelor,Medical,North,,2022,60,2022-12-21,1
30,32090.62,785,33478.8,35.44,4.0,1.6,8916.34,7,6310.64,Female,Part-Time,,Business,South,Single,2011,60,2011-04-08,1
65,106906.47,616,7273.89,8.04,5.0,2.7,5996.17,6,25199.32,Female,Full-Time,High School,Home,West,Married,2016,36,2016-06-19,0
27,40282.46,691,6841.44,44.73,4.0,1.9,4176.42,0,7709.03,Female,Unemployed,Master,Personal,West,Divorced,2016,36,2016-03-18,0
49,,611,21531.62,43.97,2.0,7.0,260.53,4,7942.26,Female,Unemployed,,Car,North,Married,2016,24,2016-07-05,0
31,100640.63,802,10106.89,18.13,1.0,0.7,3328.49,0,18566.0,Female,Full-Time,High School,Home,North,Married,2019,36,2019-07-12,0
51,81958.13,773,20551.18,30.42,6.0,,1695.59,8,19549.76,Male,Full-Time,High School,Business,Central,Divorced,2011,84,2011-01-09,0
53,71081.19,519,33679.97,61.97,6.0,3.0,2351.24,6,20048.8,Female,Self-Employed,Bachelor,Business,North,Married,2011,36,2011-06-01,1
66,14895.12,649,21154.38,62.16,4.0,0.9,10076.8,4,3338.33,Female,Full-Time,Bachelor,Car,East,Single,2020,36,2020-09-28,1
74,55668.41,544,18633.76,48.27,3.0,16.0,379.18,9,18859.02,Male,Full-Time,High School,Business,West,Single,2015,84,2015-05-17,1
53,54640.91,753,7101.45,20.68,5.0,6.4,4808.29,3,15409.19,Female,Full-Time,High School,Medical,South,Married,2020,60,2020-06-11,0
55,46481.16,593,22262.76,39.88,0.0,,10932.76,4,11904.77,Female,Self-Employed,Master,Education,North,Single,2014,84,2014-12-22,0
38,107902.35,615,3696.28,19.8,2.0,36.5,7226.4,8,18932.01,Male,Full-Time,PhD,Personal,Central,Divorced,2014,36,2014-01-27,0
25,168692.76,413,2479.51,37.5,1.0,0.1,3033.78,3,39616.28,Female,Unemployed,Bachelor,Personal,North,Married,2014,36,2014-08-21,0
25,25248.07,663,33428.88,41.36,0.0,5.6,,9,4272.05,Male,Full-Time,PhD,Medical,North,Married,2022,24,2022-12-25,1
30,47088.62,559,5667.54,2.13,3.0,8.1,14707.67,0,9987.84,Male,Full-Time,Master,Home,Central,Single,2017,60,2017-02-11,0
41,,672,26767.94,35.62,1.0,5.5,2921.72,7,6131.57,Male,Full-Time,PhD,Car,North,Single,2016,24,2016-11-02,0
45,48050.67,689,40469.37,9.64,0.0,6.9,4204.57,7,12142.67,Female,Part-Time,High School,Home,Central,Married,2014,48,2014-11-13,0
34,34754.9,711,13848.13,15.61,,,5322.13,2,13443.4,Male,Full-Time,,Home,Central,Married,2014,60,2014-08-07,0
35,46082.68,683,14399.32,53.23,,10.1,25102.03,3,8101.34,Female,Part-Time,High School,Medical,North,Divorced,2019,48,2019-10-18,0
54,164751.51,748,9039.49,23.22,6.0,20.8,8813.89,8,31227.07,Female,Full-Time,High School,Medical,South,Married,2015,60,2015-12-15,0
58,60192.26,606,4637.35,23.06,6.0,1.5,2728.97,3,13402.21,Female,Unemployed,High School,Personal,South,Married,2010,60,2010-05-28,0
31,114676.78,700,11191.73,22.12,3.0,6.7,2251.41,6,28915.98,Female,Full-Time,High School,Home,South,Married,2015,36,2015-08-08,0
23,137035.99,491,11086.71,27.6,6.0,10.1,1967.47,5,,Male,Unemployed,Bachelor,Car,North,Widowed,2013,60,2013-07-25,1
59,,549,23432.83,46.43,0.0,2.7,1984.81,6,34291.23,Male,Self-Employed,High School,Personal,East,Single,2024,36,2024-10-11,1
50,69053.71,643,5895.08,59.3,3.0,6.6,1626.12,2,20819.69,Male,Retired,Bachelor,Home,East,Divorced,2018,48,2018-05-08,1
62,120434.74,673,18941.53,12.56,3.0,1.7,19387.21,2,31038.32,Female,Unemployed,PhD,Home,West,Married,2020,60,2020-07-21,0
21,36474.64,632,58027.63,27.77,1.0,4.9,30921.27,0,6505.45,Male,Full-Time,Bachelor,Home,North,,2016,60,2016-05-26,1
30,66957.74,602,9709.88,7.82,3.0,4.7,17778.55,4,19200.13,Male,Part-Time,Bachelor,Business,South,Married,2015,60,2015-09-15,0
48,37438.95,765,6287.74,22.22,2.0,9.9,2079.52,1,14854.64,Female,Self-Employed,Bachelor,Home,North,,2022,48,2022-06-25,0
59,49761.26,588,4097.63,40.54,2.0,3.8,12305.64,8,,Female,Full-Time,High School,Business,South,Married,2016,84,2016-08-19,1
44,83909.96,739,21551.08,17.02,6.0,3.3,5448.54,5,18435.16,Male,Retired,PhD,Car,South,,2018,36,2018-12-18,0
53,89250.72,674,15863.34,68.48,2.0,3.8,1484.79,0,17789.51,Female,Unemployed,Bachelor,Car,North,Married,2015,60,2015-07-25,1
56,16617.82,689,20406.03,14.51,6.0,1.5,2225.03,1,3997.69,Female,Full-Time,PhD,Home,West,Married,2022,24,2022-09-19,1
63,43911.85,617,6458.19,39.85,5.0,1.9,5190.0,9,9484.08,Male,Full-Time,High School,Personal,Central,Single,2011,12,2011-04-27,1
52,38930.41,697,15184.94,42.58,4.0,3.4,52232.45,7,9439.56,Male,Full-Time,PhD,Car,North,Married,2023,48,2023-12-13,0
68,48982.25,739,21636.21,40.18,1.0,9.7,1633.32,7,8963.66,Male,Unemployed,,Home,East,Single,2016,48,2016-01-20,0
29,27615.02,456,18731.97,32.25,4.0,,,5,5460.48,Male,Full-Time,,Home,North,Widowed,2020,48,2020-04-17,1
72,47681.74,684,5001.24,39.28,0.0,1.4,28873.03,9,14693.66,Female,Self-Employed,Bachelor,Car,Central,Single,2024,48,2024-03-23,0
38,38423.62,676,14897.14,10.44,0.0,0.8,3360.68,6,7133.11,Male,Unemployed,,Home,North,Single,2011,36,2011-08-09,0
43,81483.37,567,15048.35,17.75,0.0,0.8,,8,18621.42,Male,Unemployed,PhD,Business,West,Married,2021,36,2021-11-08,0
24,61475.05,546,6460.48,52.83,5.0,,1150.77,7,,Female,Retired,High School,Home,North,Divorced,2020,36,2020-08-15,1
58,91288.55,785,3648.15,15.95,1.0,13.5,13428.11,2,22099.67,Female,Full-Time,Master,Medical,East,Married,2014,60,2014-07-26,0
44,62298.92,550,36672.77,51.14,5.0,5.9,25852.71,6,13114.21,Male,Full-Time,Master,Education,North,Divorced,2017,24,2017-12-23,1
34,77068.07,725,15335.35,23.08,2.0,,11472.98,6,22482.42,Female,Unemployed,High School,Business,East,Married,2018,36,2018-01-01,1
35,38527.99,761,6675.27,41.96,1.0,3.1,6894.07,8,,Female,Self-Employed,,Home,North,Single,2019,36,2019-12-22,0
26,61145.06,613,13546.67,21.2,4.0,2.8,2878.79,0,10856.36,Female,Self-Employed,,Education,West,Single,2018,48,2018-06-17,0
25,30153.39,761,36899.79,18.64,1.0,3.1,,3,11651.19,Female,Full-Time,Master,Business,Central,Single,2019,36,2019-12-07,0
72,19287.39,663,11133.25,59.56,5.0,5.6,1201.83,0,3422.43,Male,Unemployed,Master,Education,East,Widowed,2019,36,2019-08-01,0
43,65729.38,575,22458.46,26.69,5.0,0.1,10873.9,4,17900.01,Female,Full-Time,Bachelor,Car,Central,,2018,36,2018-03-10,0
30,86729.2,785,12125.94,40.4,5.0,7.7,3130.31,6,23942.47,Male,Part-Time,Master,Medical,North,Married,2023,24,2023-02-28,1
37,39912.42,569,2915.28,13.54,2.0,1.3,12343.53,6,8910.24,Female,Retired,,Business,East,Married,2023,24,2023-08-02,1
45,123404.79,681,13194.15,20.04,0.0,0.5,14308.24,3,30723.56,Male,Part-Time,Master,Car,West,Single,2018,60,2018-05-14,0
43,134295.91,562,6808.4,19.12,4.0,7.0,20503.21,8,48621.34,Female,Unemployed,Master,Medical,North,Single,2014,24,2014-03-23,0
28,27023.66,417,21008.83,37.03,3.0,6.2,6384.54,9,5819.52,Male,Unemployed,,Education,East,Single,2024,24,2024-05-14,1
58,,670,13794.36,52.82,2.0,4.9,3748.62,6,,Female,Part-Time,High School,Personal,West,Single,2020,84,2020-10-16,1
39,124220.19,830,9320.76,3.9,2.0,3.5,10402.31,4,25775.93,Male,Full-Time,,Car,East,Single,2014,36,2014-11-28,0
46,90558.62,777,52538.46,13.22,,8.0,7358.6,6,27865.91,Male,Full-Time,Bachelor,Medical,South,Married,2020,36,2020-04-11,0
47,57066.18,731,14376.05,30.61,1.0,,3948.14,5,18542.63,Female,Retired,Bachelor,Home,South,Married,2016,48,2016-10-05,0
49,26996.1,662,19758.24,13.21,6.0,12.6,,5,9448.1,Male,Full-Time,PhD,Car,South,Single,2019,36,2019-07-04,0
49,80141.31,831,7758.85,17.32,2.0,4.4,5813.8,9,19222.36,Male,Full-Time,,Medical,Central,Single,2021,48,2021-02-04,0
69,32513.56,711,14056.5,38.78,2.0,7.8,18390.57,1,7101.84,Female,Part-Time,,Business,South,Single,2023,36,2023-05-12,0
26,78049.55,622,11921.02,12.49,4.0,0.9,,4,18973.05,Female,Part-Time,High School,Business,West,Single,2022,48,2022-11-03,1
51,36248.47,612,6955.54,29.6,3.0,3.2,1146.39,1,8073.12,Female,Unemployed,Bachelor,Personal,North,Divorced,2015,36,2015-06-11,0
69,30309.91,667,12279.41,13.07,0.0,5.1,1384.74,3,8486.9,Female,Full-Time,Bachelor,Home,North,Single,2019,36,2019-08-04,0
25,149991.81,791,8201.34,20.52,5.0,,34541.28,3,35336.98,Female,Part-Time,Master,Personal,West,Single,2015,36,2015-12-17,0
53,72078.69,537,23083.2,4.79,6.0,2.8,5195.19,0,27972.21,Female,Full-Time,High School,Home,North,Single,2023,36,2023-12-25,0
29,74578.95,590,10591.46,14.05,6.0,0.9,27830.16,4,28603.09,Female,Self-Employed,High School,Business,Central,Single,2020,48,2020-04-28,0
60,35310.27,658,16330.72,40.84,4.0,3.4,1934.39,9,6480.1,Male,Full-Time,,Education,South,Single,2014,60,2014-01-25,1
73,28904.32,658,13207.21,24.41,3.0,11.7,5048.83,9,7295.11,Male,Full-Time,,Home,East,Married,2014,48,2014-11-09,0
57,64152.05,615,9466.86,27.16,0.0,0.7,14384.57,8,14951.38,Female,Full-Time,,Home,North,Single,2019,36,2019-05-21,0
28,89087.72,552,2429.13,12.63,3.0,3.5,11911.78,7,27916.62,Male,Self-Employed,High School,Car,South,Married,2023,12,2023-09-01,1
49,42640.58,691,8046.72,45.71,0.0,,9192.95,6,7812.79,Female,Self-Employed,High School,Home,Central,Single,2024,48,2024-03-22,0
40,40371.91,596,5656.04,33.42,3.0,0.2,3093.69,1,9703.84,Male,Full-Time,,Education,East,Divorced,2018,60,2018-04-07,0
36,151720.04,549,8115.8,28.67,0.0,0.1,7262.63,7,36671.0,Female,Self-Employed,PhD,Education,Central,,2015,36,2015-09-24,1
29,,849,42909.86,20.67,3.0,5.5,6535.74,1,4301.06,Female,Part-Time,Bachelor,Education,South,Married,2018,48,2018-12-21,0
59,27957.8,571,10153.06,35.13,0.0,2.1,,8,4855.02,Male,Part-Time,High School,Personal,North,Single,2023,84,2023-07-19,1
